SpeciesRate,ScientificName,HebrewName
0.60,Archontophoenix alexandrae,ארכי-תמר אלכסנדרה
0.62,Butia capitata,בוטיה דרומית
0.62,Bismarckia nobilis,ביסמרקיה אצילה
0.76,Hyphaena thebaica,דום מצרי
0.53,Dypsis lutescens,דיפסיס לוטסנס
0.50,Dypsis decarii,דיפסיס משולש
0.54,Wodyetia bifurcata,דקל זנב השועל
0.50,Washingtonia filifera,וושינגטוניה חוטית
0.42,Washingtonia Robusta,וושינגטוניה חסונה
0.58,Trachycarpus fortuni,טרכיקרפוס פורטון
0.69,Chamaerops humilis,כמרופס נמוך
0.60,Livistonia spp.,ליוויסטונה מינים שונים
0.61,Sabal palmetto,סבל פלמטו
0.42,Syagrus romanzoffianum,סייגרוס רומנזוף
0.56,Howea (Kentia) forsteriana,קנטיה פורסטר
0.52,Caryota mitis,קריוטה נאה
0.46,Ravenea rivularis,רווניאת הפלגים
0.58,Roysotnea regia,רומם מלכותי
0.44,Rhapis excalsa,רפיס רם
0.71,Phoenix dactilifera,תמר מצוי
0.60,Phoenix reclinata,תמר נטוי
0.42,Phoenix canariensis,תמר קנרי
